epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,613.746,1.83197,1.66803,1.60053,0.82464,0.59034,0.67032,0.37492,1.91681,1.63482,1.62619,0.00066662,0.00066662,0.00066662
2,1172.93,1.70071,1.28534,1.51595,0.84956,0.6161,0.69502,0.41136,1.81155,1.52078,1.55875,0.00120129,0.00120129,0.00120129
3,1728.14,1.62396,1.19398,1.46741,0.86053,0.62688,0.70908,0.43386,1.7481,1.46336,1.53283,0.00160396,0.00160396,0.00160396
4,2283.65,1.55906,1.11705,1.41995,0.86876,0.63951,0.72289,0.44276,1.72577,1.40769,1.50406,0.001406,0.001406,0.001406
5,2840.41,1.49541,1.04886,1.37302,0.86838,0.64395,0.72954,0.45053,1.70771,1.37458,1.48053,0.001208,0.001208,0.001208
6,3405.59,1.43692,0.99455,1.3348,0.87097,0.64937,0.73537,0.45618,1.69494,1.34868,1.47429,0.00101,0.00101,0.00101
7,3967.73,1.385,0.94363,1.30204,0.86954,0.65882,0.74033,0.46106,1.6919,1.32296,1.47551,0.000812,0.000812,0.000812
8,4515.8,1.3365,0.89055,1.26131,0.87171,0.65578,0.74123,0.46164,1.69459,1.31603,1.47046,0.000614,0.000614,0.000614
9,5066.76,1.28894,0.84302,1.23102,0.87177,0.66053,0.74342,0.46133,1.70102,1.30591,1.47273,0.000416,0.000416,0.000416
10,5648.46,1.2445,0.80563,1.20305,0.87249,0.66046,0.74393,0.46047,1.70801,1.30074,1.47827,0.000218,0.000218,0.000218
