epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,861.648,1.7683,2.03673,1.57921,0.83352,0.60286,0.68257,0.34146,2.03455,1.69482,1.59957,0.00999931,0.0033331,0.00999931,0.0033331,0.00999931,0.0033331,0.00999931,0.0033331
2,1528.32,1.71527,1.47526,1.55286,0.85457,0.61591,0.70007,0.35674,2.03614,1.56839,1.64438,0.0196033,0.00653444,0.0196033,0.00653444,0.0196033,0.00653444,0.0196033,0.00653444
3,2163.93,1.71909,1.44211,1.60601,0.85551,0.62244,0.69882,0.35984,2.01123,1.54953,1.68572,0.0288113,0.00960378,0.0288113,0.00960378,0.0288113,0.00960378,0.0288113,0.00960378
4,2777.26,1.6952,1.38461,1.6209,0.86656,0.63589,0.71314,0.3737,1.97751,1.48324,1.68318,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3369.65,1.62636,1.30351,1.58953,0.88342,0.63994,0.72594,0.38072,1.97122,1.43533,1.67152,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3957.84,1.58671,1.2543,1.57096,0.885,0.65112,0.7333,0.38572,1.95709,1.41186,1.67552,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,4544.68,1.5608,1.22115,1.55782,0.88625,0.65418,0.7357,0.39388,1.93411,1.3974,1.66337,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,5132.86,1.54127,1.18403,1.54357,0.88038,0.65944,0.74067,0.39756,1.92947,1.38821,1.66477,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,5724.05,1.51934,1.15299,1.53281,0.88372,0.65886,0.74453,0.40016,1.92645,1.37285,1.66957,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,6315.9,1.50103,1.13184,1.51495,0.88511,0.66178,0.7459,0.40135,1.9298,1.37269,1.66844,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,6908.61,1.48469,1.11188,1.5087,0.88486,0.66348,0.74819,0.40358,1.91954,1.36573,1.66134,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,7501.65,1.47103,1.09674,1.49608,0.88479,0.66521,0.74912,0.40444,1.9177,1.35731,1.66113,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,8095.49,1.45485,1.08096,1.48694,0.88764,0.66422,0.75002,0.40644,1.91319,1.34762,1.65964,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,8689.75,1.4452,1.06319,1.47628,0.88715,0.66638,0.75081,0.40791,1.91161,1.34048,1.65807,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,9284.71,1.431,1.04594,1.46529,0.88857,0.66632,0.75153,0.40873,1.9117,1.3364,1.65932,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,9881.42,1.41851,1.03404,1.45467,0.8881,0.66857,0.75259,0.4092,1.91119,1.33238,1.6612,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,10480.8,1.40314,1.01993,1.44511,0.88666,0.66965,0.75328,0.41041,1.90863,1.32983,1.66064,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,11085.1,1.39747,1.00668,1.43584,0.88533,0.67132,0.75368,0.41158,1.90598,1.32685,1.65923,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,11690.6,1.38142,0.99871,1.4294,0.88525,0.67267,0.75408,0.41244,1.90481,1.3244,1.65986,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,12297.2,1.37218,0.98754,1.4175,0.88667,0.67205,0.75403,0.41277,1.9047,1.32266,1.66146,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,12908.3,1.35573,0.97308,1.40849,0.8882,0.67219,0.75444,0.41292,1.90586,1.32031,1.66365,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,13520.1,1.33547,0.95577,1.3925,0.88774,0.67394,0.7556,0.41357,1.90658,1.31624,1.66591,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,14132.1,1.31797,0.93969,1.38366,0.88588,0.67594,0.75648,0.41411,1.90793,1.31237,1.66856,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,14744.4,1.30833,0.92941,1.37282,0.88498,0.67708,0.75654,0.41499,1.90958,1.30886,1.67079,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,15357.5,1.29464,0.91232,1.36358,0.88842,0.67515,0.75623,0.41424,1.91182,1.30541,1.6732,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,15971.2,1.28002,0.9044,1.35642,0.88849,0.67568,0.75619,0.4141,1.91369,1.30278,1.67583,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,16586,1.27011,0.89491,1.34731,0.88751,0.67772,0.75603,0.4143,1.91581,1.29929,1.67847,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,17205.9,1.25584,0.88699,1.33622,0.88788,0.67879,0.75585,0.41425,1.91764,1.2963,1.68064,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,17826,1.24354,0.86892,1.32779,0.88625,0.67994,0.75596,0.41442,1.91943,1.29343,1.68257,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,18445.8,1.23695,0.86736,1.31868,0.88575,0.67983,0.75595,0.41483,1.92055,1.29051,1.68337,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,19069.7,1.22261,0.85084,1.30917,0.88697,0.6795,0.75577,0.41544,1.92022,1.28846,1.68369,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,19695.8,1.21563,0.84178,1.30869,0.88517,0.67987,0.75524,0.41572,1.92003,1.28655,1.68485,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,20324.8,1.20586,0.83565,1.29811,0.88752,0.67827,0.75558,0.41714,1.91774,1.28383,1.68438,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,20951.9,1.18942,0.81975,1.29081,0.89025,0.67698,0.75514,0.41888,1.91504,1.28216,1.68337,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,21586.2,1.17872,0.80441,1.28264,0.88978,0.67778,0.75491,0.41975,1.91302,1.28025,1.68294,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,22223,1.1708,0.79883,1.27459,0.88812,0.67799,0.75522,0.4209,1.91087,1.27931,1.68193,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,22866.2,1.16209,0.78856,1.26428,0.8863,0.6779,0.75494,0.42199,1.90874,1.27777,1.68066,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,23504,1.14818,0.77444,1.25688,0.88501,0.67864,0.75487,0.42292,1.90696,1.27477,1.68005,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,24138,1.13806,0.77164,1.24937,0.89149,0.67537,0.75382,0.42418,1.90476,1.27248,1.67965,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,24774.9,1.12115,0.75535,1.23831,0.88799,0.67563,0.75252,0.42465,1.90278,1.2708,1.67988,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,25410.8,0.98909,0.55849,1.11686,0.88493,0.6784,0.75242,0.42561,1.90221,1.2697,1.68161,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,26051.5,0.95989,0.53385,1.09313,0.88639,0.67595,0.7515,0.42657,1.9018,1.26936,1.68349,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,26694.1,0.93971,0.51883,1.0795,0.88515,0.67578,0.75086,0.42694,1.90296,1.26895,1.68675,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,27331.9,0.9199,0.50198,1.06304,0.88163,0.67742,0.74929,0.42743,1.90487,1.26957,1.69022,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,27964.8,0.90143,0.48912,1.05205,0.88052,0.67846,0.74904,0.42796,1.90718,1.27002,1.69423,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,28604.4,0.88416,0.47665,1.03779,0.87992,0.67913,0.74866,0.42778,1.90958,1.27166,1.6978,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,29250.2,0.86776,0.46559,1.02925,0.87941,0.67899,0.74823,0.42796,1.91226,1.27379,1.70174,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,29909.1,0.85048,0.45273,1.01884,0.8801,0.67877,0.74747,0.42775,1.91621,1.27631,1.70706,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,30570.3,0.83821,0.44166,1.01023,0.88026,0.67769,0.74541,0.42727,1.92017,1.27859,1.71232,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,31244,0.82448,0.43409,1.00188,0.87994,0.67766,0.74464,0.42737,1.92334,1.28199,1.71686,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
