epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,836.39,1.7996,1.95821,1.48076,0.82719,0.48549,0.56146,0.32576,1.81632,1.57264,1.44099,0.00999927,0.00333309,0.00999927,0.00333309,0.00999927,0.00333309,0.00999927,0.00333309
2,1475.79,1.71679,1.40936,1.44169,0.82866,0.49129,0.57125,0.33633,1.79417,1.45142,1.48722,0.0196033,0.00653443,0.0196033,0.00653443,0.0196033,0.00653443,0.0196033,0.00653443
3,2080.69,1.73139,1.38102,1.46883,0.83045,0.50036,0.5756,0.34157,1.77903,1.41339,1.50652,0.0288113,0.00960377,0.0288113,0.00960377,0.0288113,0.00960377,0.0288113,0.00960377
4,2675.37,1.69361,1.32194,1.45793,0.83506,0.50443,0.58603,0.35563,1.73373,1.35994,1.47758,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3269.97,1.62469,1.24709,1.41619,0.85064,0.51457,0.59985,0.36791,1.70278,1.31321,1.45747,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3863.54,1.58521,1.20113,1.38783,0.84647,0.52642,0.60756,0.37597,1.6795,1.28638,1.43425,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,4458.78,1.55866,1.16741,1.37574,0.85239,0.52672,0.61416,0.38133,1.66795,1.2605,1.43523,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,5052.4,1.52659,1.1325,1.35465,0.8564,0.53507,0.61871,0.38572,1.66437,1.2413,1.43269,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,5646.64,1.50691,1.11556,1.341,0.85941,0.53579,0.62198,0.38915,1.6554,1.22462,1.42144,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,6240.05,1.48866,1.08903,1.32954,0.85983,0.53981,0.62492,0.39115,1.65201,1.21279,1.41911,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,6834.6,1.46948,1.07894,1.32023,0.8584,0.54218,0.62693,0.39347,1.64591,1.20716,1.41495,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,7429.03,1.45705,1.05615,1.30933,0.86128,0.5445,0.62922,0.39518,1.64184,1.20144,1.41205,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,8026.2,1.44535,1.04922,1.30086,0.86258,0.54535,0.631,0.39645,1.63956,1.19601,1.4102,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,8633.98,1.42883,1.03272,1.29047,0.86344,0.54736,0.63232,0.39701,1.63751,1.19216,1.4081,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,9231.69,1.42414,1.02229,1.29035,0.86535,0.5479,0.63349,0.39791,1.63597,1.18773,1.4075,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,9826.83,1.40955,1.00784,1.27812,0.86524,0.54793,0.63386,0.39839,1.63388,1.18357,1.40562,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,10411.5,1.40023,0.99818,1.27275,0.86464,0.54909,0.63473,0.39921,1.63205,1.18054,1.40399,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,10991.3,1.39094,0.98761,1.26718,0.8622,0.55042,0.63515,0.39999,1.6313,1.17817,1.4036,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,11568.9,1.385,0.98334,1.26248,0.86342,0.55089,0.63594,0.40073,1.62993,1.17499,1.40288,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,12156.5,1.37245,0.97624,1.25501,0.86502,0.55138,0.63653,0.40136,1.62906,1.17241,1.40216,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,12733.2,1.36043,0.96303,1.24678,0.86038,0.55437,0.63728,0.40201,1.62751,1.16979,1.40116,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,13309.8,1.35706,0.9564,1.24444,0.85996,0.55563,0.63799,0.40242,1.62676,1.1678,1.40055,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
